prompt,phrase
Neck pain,I have a neck pain when I sit in-front of my laptop.
Heart hurts,I have terrible pain in my heart
Knee pain,I get a knee pain when I walk a lot
Open wound,I had an accident and my wound was open when I arrived to hospital
Heart hurts,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.
Ear ache,I have a ear ache when I go to the pool
Hair falling out,my hair isn't well
Feeling cold,"I am always cold, even when I am wearing layers"
Heart hurts,severe pain in the upper left side of chest and may have pain to back
Muscle pain,I have a hard muscle pain since i went to the gym
Shoulder pain,I don't have full range of motion with my arms
Muscle pain,i have muscle pain at my left leg.
Joint pain,I feel pain in my joint after an injury in the last football match I played.
Shoulder pain,i have a strong shoulder pain
Body feels weak,When I eat too much sugar my body gets weak and dizzy.
Body feels weak,"My body feels weak after my first day in the gym, why?"
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Infected wound,"surgical wounds red, firing pus, painful and hot to the touch"
Infected wound,There is an injured person
Infected wound,"I think there's something wrong with my wound, it does not seem to heal like it should."
Open wound,The wound is still open
Feeling dizzy,I feel dizzy whenever I stand up.
Hair falling out,A terrible fall in hair
Back pain,I have a dull ache in  my lower back which makes it difficult to move
Knee pain,I feel like there is something swollen and inflamed at the back of my knee.
Neck pain,I have a powerful pain inside my neck
Head ache,My head hurts whenever I try to do something.
Body feels weak,I don't have the energy to do the things that I used to
Shoulder pain,I feel pain in my shoulders when I write on the keyboard.
Ear ache,My ear hurts when I touch it.
Knee pain,I get a knee pain when I walk a lot
Blurry vision,When I force my eyes to view I have blurry vision.
Shoulder pain,I don't have full range of motion with my arms
Head ache,I have a headache every time I eat ice cream
Acne,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
Hair falling out,my hair isn't well
Feeling cold,I do not know why I feel cold
Feeling cold,My entire body is freezing.
Neck pain,My neck is annoying me I can't sleep bacause of it
Hard to breath,I feel something hurt me in taking breath and I cant take my breath
Feeling cold,The warming system of my house is broken and  feel so cold
Ear ache,I have a ear ache when I go to the pool
Muscle pain,My calves feel like they are tight as knots and are throbbing
Injury from sports,"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now."
Emotional pain,i'm disappointed
Heart hurts,I have terrible pain in my heart
Blurry vision,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
Heart hurts,I felt my heart hurts when I ran for along distance
Acne,I got acne when I ate chili
Hard to breath,I feel something hurt me in taking breath and I cant take my breath
Stomach ache,I have a great stomach ache and i can't eat any thing
Back pain,I can't stand up or sit down I have a pain in my back that annoys me
Acne,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
Skin issue,I have acne in my face and other problema in my derma like itching
Acne,I have eruptions on my face that come and go .
Internal pain,I have a pain in my stomach
Blurry vision,I have blurry vision after I used a wrong medicine.
Shoulder pain,I have shoulder pain when I try to carry my groceries.
Cough,I have a cold and it makes me cough alot
Injury from sports,My back got injured while i was lifting at the gym
Blurry vision,I have blurred vision.
Hard to breath,i feel that it's hard to breath for me specially after running or making any effort
Stomach ache,My stomach has been sore since yesterday.
Infected wound,My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.
Head ache,I read a book for along time and when I finished reading I feel head ache
Hard to breath,I feel great pressure in my chest
Infected wound,My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.
Muscle pain,My muscles in my lower back are aching.
Internal pain,"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog."
Joint pain,Feel like something is being jabbed into my joints
Back pain,I love to garden but I get a terrible twinge in my lower back when I lean over.
Blurry vision,i can't see well
Injury from sports,"i was playing basketball yesterday, i have sprained ankle"
Stomach ache,Stomach pain after drinking milk
Hair falling out,I visited many doctors but they can't find the right treatment toget my hair back
Blurry vision,It's hard to see things
Infected wound,"surgical wounds red, firing pus, painful and hot to the touch"
Feeling cold,When I go to sleep I am feeling cold
Stomach ache,I have pain in my stomach
Stomach ache,I have pain in my colon and my stomach like something cutting it
Ear ache,There is a sharp pain in my ear whenever I do this.
Shoulder pain,I can't stand with this horrible feeling in my shoulder
Back pain,The pain in my back dwwls like a sharp knife in it
Feeling dizzy,I feel dizzy whenever I stand up.
Shoulder pain,i have shoulder pain after doing any home work.
Joint pain,i have a pain in my elbow joint
Internal pain,i have pain but i can't specify place
Blurry vision,I have blurry vision after I used a wrong medicine.
Ear ache,I have an ear ache when showering
Stomach ache,When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me
Head ache,My head hurts when I'm doing this.
Muscle pain,My lower back hurts but it improves if I stretch it
Joint pain,I feel joint pain every time I move
Knee pain,I have shooting pain in my kneecap after working out.
Feeling dizzy,I feel like the room is spinning
Heart hurts,"I feel a pain on the left side of my chest, where my heart is"
Open wound,I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.
Muscle pain,My muscles in my lower back are aching.
Foot ache,I love to walk and be outside but the bottoms of my feet get sore so quickly.
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Neck pain,stiffness inability to look right or left except by moving the whole body
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Feeling cold,When I wake up I am feeling cold
Infected wound,My infected wound caused a fever
Heart hurts,I feel like my heart is on fire.
Heart hurts,I cannot breathe because of this dull ache below my left shoulder.
Shoulder pain,It feels like someone stuck a knife into my shoulder
Feeling cold,I'm not good i'm feeling so cold
Hard to breath,I have a problem in the expiration because i have abronchial asthma
Stomach ache,My stomach has been sore since yesterday.
Emotional pain,heavy breath with fatigue
Joint pain,Feel like something is being jabbed into my joints
Open wound,I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.
Feeling cold,I feel cold although we are in summer.
Injury from sports,"i was playing basketball yesterday, i have sprained ankle"
Foot ache,I can't walk well I have an ache in my foot
Feeling dizzy,I feel lightheaded
Neck pain,I feel pain in my neck after waking up
Infected wound,I suffered a deep wound in my hand and I can not stop the bleeding
Neck pain,I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.
Ear ache,My ear hurts when I touch it.
Feeling cold,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
Shoulder pain,I feel pain in my shoulders when I write on the keyboard.
Injury from sports,i hit the ground when trying to shoot a basketball
Body feels weak,My muscles feel tired
Stomach ache,The severe pain in the stomach I feel
Feeling dizzy,"When I stand up, I feel like I'm going to fall down instantly"
Infected wound,"The last time I clipped my toenails, I cut them too short and now I have an infected nail."
Infected wound,Surgical wound infections
Joint pain,My knee is hurting so badly.
Internal pain,my left side aches much
Back pain,My back hurts me and i can't bend it or walk
Back pain,I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.
Body feels weak,I've always been very active but now I just don't have the strength or energy to go for even a short walk.
Skin issue,i have issue with my skin
Acne,I get breakouts on my chest with red patches that get more intense when i get hot.
Blurry vision,i can't ride my car at night because i have blurry vision.
Body feels weak,"I hardly have enough stength to get up,"
Muscle pain,"after playing football, i have muscle pain with my both legs."
Muscle pain,There is pain in the muscles I do not know caused
Ear ache,My ear hurts when I touch it.
Neck pain,Every time I look to left I feel a sharp pain in my neck.
Body feels weak,I can't do anything I feel a weak in my body
Cough,My lungs feel heavy like they are filled with mucus
Emotional pain,I feel emotionally crushed
Joint pain,i have pain like needles in my joints.
Body feels weak,"My body feels weak although I eat a lot, why?"
Body feels weak,My muscles feel tired
Feeling cold,My body feels like it's in a refrigerator.
Emotional pain,I wish this excruciating feeling of loss could go away.
Emotional pain,"I've tried reading books, but nothing can cheer me up."
Body feels weak,Sometimes my body feels week without reason
Cough,My cough is very heavy and I have mucus.
Emotional pain,i feel sad
Foot ache,The arches of my feet hurt when I wear heels
Cough,Have severe cold and cough
Hair falling out,My hair always falls out and i have lost a lot of hair lately
Knee pain,having difficulty moving my knee
Infected wound,I think my wound is infected
Feeling cold,"Even if the temperature is high in the house,  my body is always cold"
Skin issue,I have a rash and it itches very bad.
Shoulder pain,"After playing tennis,  I had a powerful sensation close to my neck"
Cough,I have some terrible problems when i'm breathing during the night.
Skin issue,I have a very rash sensation close to my arms
Knee pain,My knee doesn't want to bend well.
Emotional pain,I feel really sad all the time.
Acne,My acne itches and oozes.
Heart hurts,My heart feels like it's going to explode.
Cough,I've been over my cold for weeks but still cough every day.
Muscle pain,When i'm doing sport I have pain under my skin
Hair falling out,There are lots of hairs on my pillow in the morning.
Ear ache,I think there's fluid in my ears.
Ear ache,It itches inside my ears.
Heart hurts,heart aches so much
Internal pain,I have general discomfort in my torso.
Open wound,I have a split on my thumb that will not heal.
Blurry vision,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
Hard to breath,I feel a tightness in my chest
Foot ache,My foot hurts me a lot of playing football
Acne,Chronic disease of hair follicles and sebaceous glands
Hair falling out,my hair falling out
Emotional pain,I have a mental suffering
Hair falling out,My hair is falling when I am combing it.
Feeling dizzy,I feel dizzy and out of sight
Feeling dizzy,I feel lightheaded when I stand up
Hard to breath,It feels like I can't take a deep breath
Feeling dizzy,I'm not good i feel dizzy
Back pain,i feel pain in my back
Cough,Sometimes I cough because I'm a smoker
Stomach ache,My stomach feels starts hurting but then it feels better after I eat something mild.
Muscle pain,When I do hard exercises I feel great pain in my muscles.
Joint pain,I feel a lot of pain in the joints.
Infected wound,I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.
Hair falling out,My shower drain is full of hair every time.
Skin issue,My skin is itching.
Cough,I feel congestion in my chest
Heart hurts,my heart hurts me
Stomach ache,"My stomach aches after I drink any soda drink, why?"
Internal pain,My chest hurts when I smoke
Foot ache,I have a painful cramp in my feet
Shoulder pain,I feel like I went to an acupuncture's practice and had 100 needles in my shoulder
Shoulder pain,my shoulder is hurting me
Foot ache,I have a foot ache after running 500m with my running shoes.
Body feels weak,I feel very weak in my body
Shoulder pain,I have throbing in my shoulder
Joint pain,I feel pain in my knee when I climb the stairs.
Infected wound,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.
Knee pain,I could not exercise because of my knee pain
Blurry vision,I have blurred vision.
Feeling dizzy,I feel dizzy after doing a muscular effort.
Open wound,glass broken and wound my leg badly the wound is so wide
Open wound,I have an open wound in my arm
Skin issue,I tried alot of cream but i still feel the same skin problem
Neck pain,my neck hurts me and i can't look down or up
Open wound,I have a split on my thumb that will not heal.
Foot ache,there pain in my foot
Neck pain,I have a sharp pain in my neck
Back pain,I feel pain in the lower back
Feeling dizzy,My head gets dizzy when I try to get up.
Hard to breath,"It is hard to breath when I am in the underground metro station, why?"
Acne,I have acne all over my face
Neck pain,I feel a pain in my neck
Blurry vision,My television and computer seem out of focus even though I have new glasses.
Neck pain,My neck feels stiff
Knee pain,My knees ache on cold and rainy days.
Hair falling out,I have a hair shortage
Heart hurts,My heart hurts when I exercise
Neck pain,I complain alot with my neck pain and i really need to be better
Neck pain,I have a sharp pain in my neck
Hair falling out,I feel depressed when I see my hair falling out
Open wound,I have a split on my thumb that will not heal.
Skin issue,My skin is itching.
Feeling dizzy,I feel dizzy and out of sight
Infected wound,I have a cut that has become red and oozes puss.
Internal pain,I have an internal pain I cannot describe
Cough,I'm suffering from sharp cough Accompanied by  phlegm
Stomach ache,My stomach feels starts hurting but then it feels better after I eat something mild.
Acne,I get clusters of pimples on my face that never go away.
Cough,I feel like I can hardly breathe unless I get what's in my lungs out
Joint pain,my ankle is hurting me
Body feels weak,Sometimes my body feels week without reason
Joint pain,my ankle is hurting me
Blurry vision,Everything looks like beeing in a smoky area.
Hair falling out,My hair always falls out and i have lost a lot of hair lately
Back pain,My back hurts a lot when I bend
Body feels weak,"My body feels weak although I eat a lot, why?"
Injury from sports,"i was playing basketball yesterday, i have sprained ankle"
Neck pain,I feel pain in my neck while I'm working.
Acne,My chest break out with red pimples and whiteheads.
Feeling cold,I feel cold although we are in summer.
Feeling dizzy,i feel dizzy after severe diarrhea
Cough,I can't sleep I have a hard cough
Ear ache,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.
Muscle pain,My biceps started aching after I went to the gym
Knee pain,I could not exercise because of my knee pain
Neck pain,I have a sharp pain in my neck
Blurry vision,I have blurred vision.
Muscle pain,My arm hurts when I stretch
Back pain,I feel pain in the lower back
Feeling dizzy,I feel lightheaded when I stand up
Joint pain,I feel pain in my knee when I climb the stairs.
Neck pain,My neck feels stiff
Open wound,I have an open wound in my arm
Muscle pain,I feel a burning sensation in my shoulder muscle.
Body feels weak,My body feels weak and I tried to make it relax but it stills pain me
Emotional pain,I feel pain when i think of her
Feeling dizzy,I feel lightheaded
Knee pain,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
Injury from sports,i'm injured i can't play sports
Knee pain,"When I walk up a flight of stairs, my right knee hurts."
Emotional pain,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break."
Knee pain,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
Body feels weak,I have the impression of having no strength in my body
Skin issue,My skin is very dry and peeling.
Heart hurts,I feel a strange and powerful pain inside my rib cage
Shoulder pain,i have shoulder pain after doing any home work.
Skin issue,I have a skin rash after eating an ice-cream.
Feeling cold,"I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough."
Shoulder pain,I can't stand with this horrible feeling in my shoulder
Emotional pain,When I remember her I feel down
Muscle pain,When I wake up in the morning I feel a soreness in my body
Infected wound,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.
Ear ache,I get an ear ache when it is cold
Head ache,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
Infected wound,"surgical wounds red, firing pus, painful and hot to the touch"
Feeling dizzy,I feel dizzy when i make sudden movements
Body feels weak,"My body feels weak after my first day in the gym, why?"
Emotional pain,I've been feeling very sad lately
Ear ache,My ear ache when I'm listening to music.
Hair falling out,"My hair is falling without a reason, I can see a lot of hair on my working desk."
Feeling dizzy,I feel dizzy and out of sight
Joint pain,I feel a sharp pain in my ankle joint when I stand.
Acne,I get clusters of whiteheads and blackheads on my back.
Neck pain,I feel a pain in my neck
Joint pain,"i can't move my leg, there is pain in the joint"
Muscle pain,My muscle in my shoulder burns when I move my arm.
Emotional pain,I have a mental suffering
Stomach ache,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.
Internal pain,My chest hurts when I smoke
Open wound,I have a break in the skin between my thumb and index finger and it will not close.
Acne,I have pimples in patches along with a lot of redness on my face.
Heart hurts,I have terrible pain in my heart
Muscle pain,I need a kind of cream wich make my muscles more relaxed
Shoulder pain,Yesterday I had a shouder pain
Hard to breath,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down."
Back pain,I can't stand up or sit down I have a pain in my back that annoys me
Heart hurts,I feel like my heart is on fire.
Knee pain,My knees swell right below the knee cap and hurt when I put weight on them.
Shoulder pain,There is so much pain when I move my arm.
Emotional pain,I feel pain when parting loved ones
Stomach ache,When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me
Blurry vision,I have blurry vision after I used a wrong medicine.
Muscle pain,my abdominal muscles have great pain since i was at GYM
Heart hurts,The crushing sensation on my heart leaves me breathless.
Hard to breath,"i was diagnosed with pneumonia, i can't breath easily."
Acne,there is acne on my face
Blurry vision,I tried to put my glasses to see more clear but cant find any change
Knee pain,I have shooting pain in my kneecap after working out.
Open wound,I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.
Hair falling out,"My hair is falling without a reason, I can see a lot of hair on my working desk."
Hair falling out,using hair tonic
Skin issue,When i get up i see my skin vague
Open wound,"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious"
Knee pain,My knee hurts when I walk
Shoulder pain,I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.
Injury from sports,I had a collision while playing soccer.  My knee buckled and now it's unstable.
Internal pain,my left side aches much
Stomach ache,I can't stand with this horrible feeling in my stomach
Stomach ache,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.
Feeling cold,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
Stomach ache,I'm feeling nauseous
Body feels weak,I can't do anything I feel a weak in my body
Emotional pain,I don't know why I'm constantly sad.
Back pain,My back hurts me and i can't bend it or walk
Blurry vision,i can't ride my car at night because i have blurry vision.
Hair falling out,using hair tonic
Skin issue,I have a very rash sensation close to my arms
Emotional pain,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break."
Neck pain,There's swelling in my neck and it hurts.
Emotional pain,I feel really sad all the time.
Skin issue,Something dark is there on my arm
Foot ache,i have a great pain in my foot like thrombing pain with relaxing my pain releif
Acne,"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away."
Skin issue,My skin is very dry and peeling.
Foot ache,I knocked my foot and it really hurts.
Head ache,"My head hurts and I lose the sensation in my face, then lose sight in my eye"
Neck pain,There's swelling in my neck and it hurts.
Internal pain,I have a dull ache in my stomach.  It gets worse after I eat.
Heart hurts,My heart is beating fast and it scares me.
Back pain,I have a dull ache in  my lower back which makes it difficult to move
Open wound,I cut myself and I'm bleeding.
Acne,Is pimples a skin disease?
Head ache,I have front head pain and when I get it the light bothers me.
Internal pain,Sharp pain and heavy breathing
Neck pain,I can hardly move my neck.  It hurts.
Open wound,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
Infected wound,"I think there's something wrong with my wound, it does not seem to heal like it should."
Neck pain,I have a powerful pain inside my neck
Cough,I can`t stop coughing.
Internal pain,I have constant stomach pain and bloating.
Joint pain,I feel a bone-on-bone pain in my knees when I climb stairs.
Body feels weak,"i am feeling so dizzy, body is so fragile."
Infected wound,My wound was infected when i was planting some flowers in my garden
Injury from sports,This long scar on my left buttock is from falling off my mountain bike.
Neck pain,I can't move my head up and down.
Open wound,glass broken and wound my leg badly the wound is so wide
Acne,My acne gets worse when it is hot
Muscle pain,My arm hurts when I stretch
Muscle pain,I do not feel better in my muscles
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Stomach ache,I'm feeling nauseous
Ear ache,my ear hurts me badly
Emotional pain,When I think of my parents I feel pain
Body feels weak,My body feels weak and i think that my face is fade and i can't sleep well
Knee pain,The knee feels like it rusted and I suddenly cannot bend it anymore.
Muscle pain,There is pain in the muscles I do not know caused
Knee pain,I had a pain in my knee when I was swimming
Injury from sports,i'm injured i can't play sports
Body feels weak,I don't have the energy to do the things that I used to
Acne,I get clusters of whiteheads and blackheads on my back.
Internal pain,I have internal pain whenever I come down with a cold.
Stomach ache,"My stomach aches when I eat hot food, why?"
Ear ache,Hearing any loud sounds makes my ear aches
Knee pain,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
Skin issue,When i get up i see my skin vague
Open wound,He was discovered to have an open wound.
Head ache,My head ache since I woke up this morning.
Stomach ache,When i eat i feel my stomach hurts
Infected wound,"The last time I clipped my toenails, I cut them too short and now I have an infected nail."
Back pain,I can't stand up or sit down I have a pain in my back that annoys me
Hair falling out,when i was washing my hair it was falling out heavily
Head ache,My head hurts when I'm doing this.
Feeling cold,When I wake up I am feeling cold
Joint pain,i have a pain in my elbow joint
Shoulder pain,There feels like a swollen knot at my shoulderblade with pain shooting from that
Emotional pain,When my grand father died I felt a hard emotional pain
Shoulder pain,I don't have full range of motion with my arms
Head ache,I have a pain in my head
Knee pain,"redness, swelling, and difficulty walking"
Injury from sports,i have injured myself during the soccer match
Feeling dizzy,i was travelling by ship and i feel dizzy.
Blurry vision,I have blurry vision after I used a wrong medicine.
Hair falling out,itch at front and center of scalp
Blurry vision,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
Ear ache,I have a ear ache when I go to the pool
Acne,My chest acne breaks out and never clears up.
Stomach ache,I feel a burning sensation in my guts about 2 hours after each meal.
Blurry vision,When I force my eyes to view I have blurry vision.
Emotional pain,i have disterbance in my emotion
Heart hurts,"I feel a pain on the left side of my chest, where my heart is"
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Shoulder pain,when i raise my hand i feel pain in my shoulder.
Feeling dizzy,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
Feeling cold,I do not know why I feel cold
Emotional pain,i'm disappointed
Infected wound,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
Acne,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
Back pain,When I bend over I get a shooting pain down my back
Joint pain,I feel a soreness in my knees when I walk
Shoulder pain,I don't have full range of motion with my arms
Hard to breath,I feel very hard to breathe
Stomach ache,I have a great stomach ache and i can't eat any thing
Heart hurts,I felt my heart hurts when I ran for along distance
Cough,I usually have a bad cough when I get flu.
Hair falling out,I lose a lot of my hair
Head ache,My head hurts when I'm doing this.
Body feels weak,"It's hard to stand up, and I'm moving very slowly"
Knee pain,I fell off my bike and since then I had hard  knee pain
Head ache,I have a pain in my head
Heart hurts,I feel like my heart is on fire.
Knee pain,"When I walk up a flight of stairs, my right knee hurts."
Blurry vision,"I have a blurry vision during my swimming training in the pool, why?"
Joint pain,I feel pain in my knee when I climb the stairs.
Body feels weak,"i am feeling so dizzy, body is so fragile."
Heart hurts,Oh my heart hurts me I tried to be calm and I can't
Neck pain,I have a sharp pain in my neck
Neck pain,i can't rotate my neck
Skin issue,I tried alot of cream but i still feel the same skin problem
Hard to breath,I walk every day but now I get short of breath after going only a short way.
Open wound,I have an open wound in my arm
Hair falling out,itch at front and center of scalp
Acne,I break out on my face very frequently
Internal pain,I have an internal pain I cannot describe
Open wound,glass broken and wound my leg badly the wound is so wide
Muscle pain,There is pain in the muscles I do not know caused
Acne,I get clusters of whiteheads and blackheads on my back.
Shoulder pain,I feel shoulder pain at intervals of time.
Cough,There is a constant tickle in my throat
Cough,My cough is very heavy and I have mucus.
Hair falling out,I notice a lot more hair coming out than usual when I brush my hair
Cough,I feel fluid trying to come up when I cough.
Joint pain,I feel a soreness in my knees when I walk
Knee pain,My knee hurts when I play squash
Feeling cold,"I couldn't stop shaking or unclench my jaw, that's how cold I was."
Back pain,My back hurts me and i can't bend it or walk
Blurry vision,I have a blurry vision after my head was hit yesterday.
Feeling cold,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
Body feels weak,I've always been very active but now I just don't have the strength or energy to go for even a short walk.
Body feels weak,"I get tired too fast, I can barely put on my clothes in the morning."
Stomach ache,My stomach feels full and upset  and bloating after big meals.
Skin issue,I have a rash and it itches very bad.
Internal pain,I have constant stomach pain and bloating.
Hair falling out,My hair is falling out in bunches.
Open wound,What helps cuts heal faster?
Open wound,I cut myself and I'm bleeding.
Open wound,My sore isn't healing well and it's been like this for two weeks.
Neck pain,There's swelling in my neck and it hurts.
Knee pain,My knee doesn't want to bend well.
Neck pain,There is a tingling sensation in my neck.
Knee pain,"When I walk up a flight of stairs, my right knee hurts."
Foot ache,After walking I have some pain under my foot
Heart hurts,I feel a strange and powerful pain inside my rib cage
Infected wound,is my cut infected or just healing?
Knee pain,How do you know if you have a torn meniscus in your knee?
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Shoulder pain,I don't have full range of motion with my arms
Emotional pain,I wish this excruciating feeling of loss could go away.
Back pain,I used alot of pain killer to get better but i still feel the same back pain
Head ache,"I can't stand up, I feel my brain is moving inside my skull."
Shoulder pain,I feel pain in my shoulders when I write on the keyboard.
Head ache,My head ache since I woke up this morning.
Infected wound,"The last time I clipped my toenails, I cut them too short and now I have an infected nail."
Acne,I get breakouts on my chest with red patches that get more intense when i get hot.
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Cough,I can't stop coughing
Back pain,My back hurts a lot when I bend
Knee pain,I had a pain in my knee when I was swimming
Neck pain,I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.
Blurry vision,Sterilizer for the eye
Ear ache,Hearing any loud sounds makes my ear aches
Emotional pain,"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness."
Foot ache,I knocked my foot and it really hurts.
Muscle pain,When I do hard exercises I feel great pain in my muscles.
Infected wound,My infected wound caused a fever
Head ache,i feel head ache
Feeling dizzy,All of a sudden I felt dizzy when I stood up.
Acne,My son has a lot of acne.
Foot ache,I have a foot ache after running 500m with my running shoes.
Back pain,my back hurts me a lot
Infected wound,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
Infected wound,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
Ear ache,I have a sharp pain in my ear
Cough,There is a constant tickle in my throat
Open wound,The wound is still open
Skin issue,red flushes accompanied with itchy
Hair falling out,My hair is falling out in huge amount
Cough,"my child has cough all night, she can't sleep"
Knee pain,My knee catches and hurts when I first stand up after sitting.
Joint pain,My ankle joint throbs when I put pressure on my foot.
Back pain,I have a back pain since I turned 70 years old.
Hair falling out,I'm very worried that I'll go bald soon. Am I very sick?
Feeling dizzy,when i wake up in the morning i feel dizzy
Head ache,I have a headache almost every day
Internal pain,I feel aching on my insides.
Joint pain,The joints in my fingers are painful in the morning.
Blurry vision,Everything looks like beeing in a smoky area.
Emotional pain,i feel sad
Foot ache,I can't walk well I have an ache in my foot
Ear ache,I'm not hearing well I have problem with my ear
Muscle pain,I have a pain in my muscle
Muscle pain,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
Heart hurts,"My heart hurts while I'm sad, why?"
Injury from sports,"i was injured during football match, i was diagnosed with Cruciate ligament"
Joint pain,All my body is in a bad case and i need a good treatment
Blurry vision,It's hard to see things
Stomach ache,I have pain in my stomach
Head ache,Can't keep focus
Ear ache,There is a sharp pain in my ear whenever I do this.
Emotional pain,I've been feeling very sad lately
Stomach ache,Stomach pain after drinking milk
Open wound,I must see a doctor i have an open wound
Skin issue,I have a skin rash after eating an ice-cream.
Shoulder pain,My shoulder hurts when I try to reach something above my head.
Head ache,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
Knee pain,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
Heart hurts,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
Ear ache,I think there's fluid in my ears.
Skin issue,My skin is very dry and peeling.
Ear ache,My ear is ringing.
Neck pain,There is a tingling sensation in my neck.
Acne,"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away."
Head ache,When I'm tired I feel my head heavy
Internal pain,What's the symptoms of appendicitis?
Acne,My face is all broken out with pimples.
Knee pain,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
Stomach ache,After eating  I have burning sensation inside of me.
Back pain,When I play sports  I have some burning sensation in my spine
Body feels weak,When I get out of bed in the morning my body feels very weak.
Heart hurts,It feels like my heart is going to leap out of my body. It hurts.
Open wound,What helps cuts heal faster?
Hard to breath,In the morning my respiration is loud.
Injury from sports,I was very active in sports but now my body is feeling pain.
Emotional pain,"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness."
Injury from sports,I think I sprained my ankle it really hurts.
Blurry vision,When i'm driving my eyes see in double
Body feels weak,I have the impression of having no strength in my body
Infected wound,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.
Stomach ache,I had a sharp pain in my stomach
Open wound,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
Skin issue,My skin is itchy and inflamed
Stomach ache,Stomach pain after drinking milk
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Infected wound,There is an injured person
Injury from sports,I broke my ankle while doing rock climbing in the Carpathians.
Hair falling out,I'm in need for a treatment for my hair fall
Emotional pain,"I've tried reading books, but nothing can cheer me up."
Shoulder pain,My right shoulder clicks when I move my arm.
Cough,I can`t stop coughing.
